"Tumor_T3" "Tumor_T4" "Tumor_T5" "HT1376_1" "HT1376_2" "RT4_1" "RT4_2" "SCABER_1" "SCABER_2" "SW780_1" "SW780_2" "Tumor_T1"
"ENSG00000042062.7" 2.77 1.94 3 0.22 0.06 0.15 0.54 4.23 1.62 0.02 0 2.7
"ENSG00000042088.9" 5.83 4.72 6.03 7.09 4.23 22.95 24.75 15.23 15.51 5.47 5.2 5.35
"ENSG00000042286.10" 2.17 1.15 2.59 10.17 8.35 13.94 8.48 16.08 14.51 6 6.87 3.18
"ENSG00000042304.6" 0 0 0.06 0 0 0 0.01 0 0 0 0 0
"ENSG00000042317.12" 5.81 1.01 3.57 0.97 0.65 7.43 9.03 7.07 6.11 4.05 3.46 2.42
"ENSG00000042429.6" 12.24 3.85 13.53 12.81 16.56 42.88 60.66 75.22 92.32 6.09 4.93 3.19
"ENSG00000042445.9" 11.62 6.07 7.34 14.52 8.98 50.44 41.67 71.33 64.53 16.26 17.45 3.6
"ENSG00000042493.11" 42.57 35.2 61.63 352.29 338.87 48.91 49.2 182.93 189.8 688.47 757.28 21.02
"ENSG00000042753.7" 27.64 53.11 34.63 308 242.76 69.31 72.62 80.39 75.39 342.63 288.69 3.97
"ENSG00000042781.8" 0 0.48 0.01 0 0 0.01 0.02 0.01 0.02 0 0.01 0.04
"ENSG00000042813.3" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000042832.7" 0.57 0.61 1.69 0 0 11.59 9.64 1.71 0.64 0 0 0.06
"ENSG00000042980.8" 20.21 7.73 58.82 0 0.05 1.9 34.53 0.57 0.49 1.1 1.05 1.74
"ENSG00000043039.5" 0.41 7.44 0.74 1.16 0.93 0.5 0.36 18.72 16 0.58 1.22 0.59
"ENSG00000043093.9" 12.73 8.47 6.1 8.36 6.09 37.22 44.21 48.8 47.18 11.63 8.76 6.94
"ENSG00000043143.16" 15.48 7.32 15.42 3.83 4.6 19.36 10.92 72.42 49.38 3.66 5.19 9.25
"ENSG00000043355.6" 0.01 1.51 0.48 2.32 3.26 14.85 10.45 6.71 6.36 3.53 5.19 0.28
"ENSG00000043462.7" 16.21 23.1 40.72 0 0 0 0.05 0 0 0.05 0 1
"ENSG00000043514.11" 6.51 4.56 5.41 8.42 7.49 31.79 43.61 32.92 44.62 17.31 14.82 9.68
"ENSG00000043591.4" 0.54 0.3 0.03 0.64 0.5 2.48 3 1.62 0.31 0.45 0.4 0.19
"ENSG00000044012.3" 0 0 0 0.19 0 0 0 0 0 0 0 0
"ENSG00000044090.4" 4.72 3.11 4.17 1.29 1.2 9.79 13.79 10.09 8.44 4.23 5.35 3.76
"ENSG00000044115.16" 88.59 54.11 61.61 39.33 39.08 275.83 408.21 138.58 291.35 84.66 95.44 73.91
"ENSG00000044446.7" 3.79 8.8 5.51 2.92 2.06 15.29 11.14 10.81 14.88 5.53 6.34 3.98
"ENSG00000044459.10" 5.06 1.59 2.97 1.49 2.06 1.63 1.79 5.07 6.59 0.04 0 1.21
"ENSG00000044524.6" 9.59 0.43 0.88 0.05 0.03 0.04 0.13 0.71 0.3 0.01 0 0.19
"ENSG00000044574.7" 51.12 49.12 77.79 58.07 58.76 296.47 125.51 528.01 603.41 104.09 125.33 29.69
"ENSG00000046604.8" 27.75 3.69 20.17 17.25 28.58 37.63 38.86 108.25 357.79 40.54 38.51 13.45
"ENSG00000046647.9" 5.2 2.36 2.67 7.81 7.28 15 11.41 4.92 4.17 8.84 6.53 4.65
"ENSG00000046651.10" 12.24 10.42 8.48 12.81 44.96 29.36 36.52 10.99 13.85 4.78 11.95 14.68
"ENSG00000046653.10" 5.44 0.52 2.29 0.02 0 0.76 5.71 0.32 0.83 0 0 0.98
"ENSG00000046774.9" 0 0.32 0 8.95 5.74 0.02 0 0.02 0 0 0 0
"ENSG00000046889.14" 9.87 0.93 1.38 0 0 0 0 0 0.01 0 0 1.19
"ENSG00000047056.10" 6.45 4.12 2.98 3.69 1.67 6.54 10.01 8.76 9.67 1.12 0.91 2.73
"ENSG00000047188.11" 21.3 6.15 9.4 2.01 2.13 17.34 25.11 10.96 25.49 1.09 1.05 5.96
"ENSG00000047230.10" 6.2 4.64 4.88 5.51 2.66 13.63 27.32 30.29 26.13 7.6 6.57 3.36
"ENSG00000047249.12" 16.33 9.12 13.42 88.19 75.5 52.78 60.54 46.8 41.42 60.48 33.62 6.57
"ENSG00000047315.10" 27.89 15.5 18.17 30.1 25.38 67.55 131.94 55.88 128.91 14.37 11.11 13.59
"ENSG00000047346.8" 28.62 13.87 11.92 1.06 1.5 43.86 51.97 13.28 10.96 9.94 8.02 8.93
"ENSG00000047365.7" 17.92 15.11 16.4 1.05 1.05 9.44 9.18 8.59 10.56 0.62 0.9 3.94
"ENSG00000047410.9" 28.3 22.76 29.15 8.97 41.82 77.01 122.86 64.42 163.53 13.72 14.14 20.31
"ENSG00000047457.9" 31.35 10.45 0.67 0.26 0 267.71 244.18 0.4 0.7 0.58 0.38 1.17
"ENSG00000047578.8" 4.32 3.37 2.78 0.69 0.88 12.34 13.75 18.41 14.92 1.12 2.8 3.73
"ENSG00000047579.15" 5.63 4.62 8.11 16.92 10.49 24.93 14.66 12.02 6.56 10.33 9.78 3.52
"ENSG00000047597.5" 1.12 0.26 0.47 1.29 0.7 0.97 1.04 1.39 1.64 0.55 0.55 0.16
"ENSG00000047617.10" 1.09 0.62 0.37 0 0 0.54 0.96 0.57 0.4 0 0 0.71
"ENSG00000047621.7" 6.94 4.46 15.04 3.51 1.73 10.52 11.9 11.94 13.6 1.26 1.52 0.86
"ENSG00000047634.10" 4.72 3.2 3.42 1.26 0.58 8.95 7.02 6.39 8.83 11.12 9.15 0
"ENSG00000047644.13" 8.31 5.64 8.71 3.73 4.71 34.14 5.89 11.23 8.78 6.6 5.8 0.77
"ENSG00000047648.17" 6.48 0.22 0.59 0 0 31.5 44.79 0.02 0.08 0.02 0 0.68
"ENSG00000047662.4" 0.01 0 0 0 0 0 0.01 0 0.02 0 0 0
"ENSG00000047849.17" 34.3 14.5 35.55 5.19 7.39 90.9 81.33 91.27 141.67 11.56 25.05 15.29
"ENSG00000047932.9" 10.49 4.75 6.52 12.94 14.68 18.29 19.2 27.37 44.48 5.9 4.24 3.61
"ENSG00000047936.6" 0 0.04 0.19 0 0 0 0 0.08 0.97 0 0.01 0
"ENSG00000048028.7" 8.58 5.46 12.14 5.2 4.14 27.47 24.43 23.15 20.72 1.13 1.89 9.4
"ENSG00000048052.17" 14.31 4.85 7.42 0.5 0.6 26.75 9.34 19.08 44.38 3.05 3.29 0.97
"ENSG00000048140.13" 9.48 5.52 8.11 30.13 17.86 30.8 29.62 25.89 17.67 20.37 19.91 3.4
"ENSG00000048162.15" 3.68 5.29 2.78 80.53 62.94 89.61 35.83 61.84 42.74 34.36 33.99 7.5
"ENSG00000048342.11" 8.06 2.05 2.7 1.98 2.03 2.73 2.88 8.86 9 1.33 1.07 5.84
"ENSG00000048392.7" 10.54 3.95 6.27 4.78 4.05 14.43 18.56 7.02 8.77 14.73 12.01 1.77
"ENSG00000048405.5" 12.08 6.73 7.45 1.94 1.94 35.23 27.87 27.61 25.94 2.26 1.87 3.91
"ENSG00000048462.6" 0.82 3.52 0.63 0.79 0.36 0 0.13 0 0.06 0.52 0.21 0
"ENSG00000048471.9" 7.74 5.95 5.56 2.77 2.09 2.39 3.28 3.16 5.32 1.4 1.16 7.93
"ENSG00000048540.10" 14.35 0.68 0.81 0.08 0 0.32 8.28 0.19 0.75 0.14 0.32 0.51
"ENSG00000048544.5" 9.29 9.26 7.24 43.58 35.14 37.71 26.51 57.37 57.37 28.52 20.91 1.84
"ENSG00000048545.9" 0.04 0 0.19 0 0 0 0 0 0 0 0.06 0.56
"ENSG00000048649.9" 17.78 12.47 21.19 27.76 94.07 32.48 54.88 64.28 103.17 38.36 63.21 23.02
"ENSG00000048707.9" 21.68 12.1 7.73 2.31 3.76 14.95 15.99 22.96 18.01 3.49 5.29 6.92
"ENSG00000048740.13" 11.58 4.11 5.96 0.14 0.06 0.01 0.04 0 0.05 0.09 0.08 1
"ENSG00000048828.12" 40.66 21.49 31.19 4.77 7.24 94.01 87.82 170.97 184.19 29.01 32.26 19.62
"ENSG00000048991.12" 10.59 9.35 8.8 1.68 2.45 31.84 43.1 28.19 61.01 3.29 4.01 7.97
"ENSG00000049089.9" 3.66 1.18 1.65 0.33 0.27 27.31 13.57 0.92 0.23 0.73 2.2 2.96
"ENSG00000049130.9" 22.37 10.06 4.24 10.59 7.64 9.4 5.54 30.64 14.71 17.02 14.35 0.16
"ENSG00000049167.9" 4.53 3.22 3.31 6.67 3.77 14.43 8.9 9.89 9.13 5.47 3.03 3.03
"ENSG00000049192.10" 3.18 1.34 8.33 0 0 0.04 0.08 1.8 6.17 4.48 4.67 2.12
"ENSG00000049239.8" 11.34 3.27 6.27 0.57 1.06 4.8 5.91 16.63 11.31 1.07 2.27 4.33
"ENSG00000049245.8" 33.5 19.09 21.35 34.8 22.79 33.28 40.65 72.24 105.51 31.68 28.51 12.86
"ENSG00000049246.10" 10.2 4.55 2.28 2.84 3.22 2.3 1.75 1.57 5.75 0.7 0.48 1.86
"ENSG00000049247.9" 0.76 0.13 2.85 0 0.15 0 0 0 0 0 0 0
"ENSG00000049249.4" 0.71 1.56 2.26 0.24 0.05 2.09 0.11 0.36 0.39 0 0 0
"ENSG00000049283.13" 3.97 3.78 0.51 1.68 1.32 36.48 31.69 36.92 9.48 6.13 11.83 9.51
"ENSG00000049319.2" 3.32 0.04 0.01 0 0 1.06 8.05 0.04 0.01 0 0.04 0
"ENSG00000049323.11" 36.73 2.81 16.53 21.76 22.89 7.85 14.9 6.79 10.36 1.58 1.46 3.95
"ENSG00000049449.4" 45.55 8.22 24.69 77.38 89.65 564.72 421.85 117.77 182.77 51.52 59.09 24.01
"ENSG00000049540.12" 41.74 6.78 1.9 0.19 0 0 0.28 0 0.03 0 0 1.06
"ENSG00000049541.6" 4.75 4.64 5.17 60.84 51.21 20.66 28.43 45.3 47.49 24.98 25.21 2.53
"ENSG00000049618.17" 18.63 10.68 9.28 1.57 4.56 24.21 28.43 34.01 37.67 1.69 3.11 13.51
"ENSG00000049656.9" 30.4 39.55 28.83 190.67 113.99 83.55 77.83 160.44 122.59 53.13 46.55 18.77
"ENSG00000049759.12" 41.6 4.17 11.51 6.99 9.7 108.39 85.07 52.2 98.46 27.22 26.41 26.28
"ENSG00000049768.10" 0.68 1.07 1.73 0 0 0.29 0.13 0.04 0.13 0 0 0.37
"ENSG00000049769.8" 1.61 0.8 1.2 1.09 0.78 0.9 1.05 0.78 0.48 0.29 0.18 1.81
"ENSG00000049860.9" 39.28 18.86 38.53 235.4 271.16 97.23 98.71 132.95 160.81 106.67 85.2 7.28
"ENSG00000049883.10" 3 1.24 2.24 7.3 4.3 8.03 5.4 7.16 12.35 3.48 1.99 0.56
"ENSG00000050030.9" 0.41 0.01 0.04 0 0 0 0 0 0 0 0 0
"ENSG00000050130.13" 13.99 4.88 11.39 20.5 14.75 32.04 44.81 109.89 131.22 14.61 8.72 3.6
"ENSG00000050165.13" 26.2 4.01 22.74 21.81 16.14 3.1 0.94 171.83 183.43 0.23 0.06 3.84
"ENSG00000050327.10" 3.31 5.45 4.12 1.62 2.19 24.84 8.98 27.2 15.13 5.44 6.94 6.18
"ENSG00000050344.8" 3.98 3.45 8.3 1.34 1.33 80.01 54.9 22.38 49.59 48.73 45.34 9.41
"ENSG00000050393.7" 3.89 6.1 6.65 28.04 36.06 13.14 22.39 12.31 52.65 24.97 30.62 6.2
"ENSG00000050405.9" 64.88 16.16 48.06 96.09 127.13 166.04 291.44 172.26 321.98 60.21 55.74 15.52
"ENSG00000050426.11" 14.11 10.83 13.54 39.87 27 31.36 59.28 61.64 66.93 49.29 38.09 16.23
"ENSG00000050438.12" 0.82 0.67 1.22 0.16 0.36 0.02 0.2 0.11 0.05 0.2 0.04 0.08
"ENSG00000050555.13" 6.32 0.71 1.46 0 0 0 0.01 0 0 0 0.14 1.43
"ENSG00000050628.16" 3.82 0.38 0.34 0.11 0.16 0 0.19 0 0.05 0 0 0
"ENSG00000050730.11" 0.41 1.71 2.65 0 0 0.07 0 1.31 0.89 0 0 0.1
"ENSG00000050748.13" 10.03 4.6 8.42 18.29 10.93 33.05 28.03 31.73 39.13 10.66 7.93 4.92
"ENSG00000050767.11" 0.4 0.28 1.32 0 0 0.01 0.01 0.04 0 0.35 0.88 0
"ENSG00000050820.12" 12.83 6.79 18.42 40.8 33.62 107.99 27 105.64 74.99 25.18 34.66 15.03
"ENSG00000051009.6" 7.05 4.61 4.63 7.31 5.79 23.62 16.69 21.43 17.08 4.58 3.76 2.18
"ENSG00000051108.10" 77.93 71.09 36.86 32.21 24.11 150.87 67.54 136.04 224.79 22.04 18 15.35
"ENSG00000051128.14" 5.74 6.15 12.51 112.09 96.75 75.34 53.06 111.45 60.63 55.02 64.64 15.64
"ENSG00000051180.12" 0.79 1.01 2.76 22.75 16.93 6.94 17.49 19.45 32.38 7.25 5.67 1.27
"ENSG00000051341.9" 0.25 1.64 2.53 0.78 0.91 3.11 9.53 10.33 11.36 0.48 0.51 0.85
"ENSG00000051382.4" 9.74 9.6 9.94 14.96 10.83 27.33 40.75 31.33 59.43 6.92 6.45 4.96
"ENSG00000051523.6" 94.84 80.97 83.4 58.14 51.5 180.78 97.52 87.08 48.94 1991.72 1770.95 52.91
"ENSG00000051596.5" 10.12 8.23 14.69 154.78 108.61 37.87 43.87 138.56 107.84 83.93 72.75 8.5
"ENSG00000051620.6" 30.23 19.01 10.31 106.72 104.59 32.32 38.34 24.87 23.83 150.68 119.22 20.07
"ENSG00000051825.10" 14.41 12.96 13.9 2 3.34 13.52 20.63 24.64 48.96 1.65 4.17 10.95
"ENSG00000052126.10" 30.23 7.5 9.79 0.72 1.72 27.58 57.25 22.36 37.47 4.94 4.65 16.15
"ENSG00000052344.11" 3.04 6 4.02 72.17 66.65 0.89 1.18 48.91 18.49 26.95 34.47 0.29
"ENSG00000052723.7" 13.31 8.1 10.34 35.06 30.24 25.33 18.68 38.02 39.09 132.01 111.85 9.67
"ENSG00000052749.9" 6.84 4.16 4.45 4.4 4.97 29.79 9.24 38.72 20.55 6.25 8.94 5.59
"ENSG00000052795.8" 15.88 3.57 9.97 0.96 1.7 9.6 18.57 4.27 5.23 1.51 1.5 2.21
"ENSG00000052802.8" 12.04 5.76 5.39 28.24 20.05 30.98 124.08 59.92 77.85 17.82 13.51 4.66
"ENSG00000052841.10" 37.26 17.26 29.97 4.04 6.61 59.52 52.72 42.13 55.63 6.98 10.31 24.9
"ENSG00000052850.5" 0 0 0 0 0 0.02 0.04 0.47 0.18 0 0 0
"ENSG00000053108.12" 2.55 0.41 0 0.77 0.68 3.59 4.98 0.47 0.29 0.11 0.07 3.01
"ENSG00000053254.11" 32 16.4 19.18 0.77 0.93 20.63 29.79 13.02 13.52 2.32 3.32 5.21
"ENSG00000053328.8" 3.44 0.1 0.22 0 0 0 0 0 0.03 0 0 0
"ENSG00000053371.8" 14.06 5.72 5.86 94.98 61.63 12.64 12.59 38.1 18.76 40.72 27.19 3.66
"ENSG00000053372.4" 4.37 4.03 3.56 32.69 44.7 21.74 13.59 35.98 34.26 11.63 16.92 7.15
"ENSG00000053438.7" 0.81 0 0.1 0 0 8.23 17.84 1.61 6.96 0.2 0.41 1.76
"ENSG00000053501.8" 6.13 4.57 3.08 39.62 30.79 23.09 10.56 14.06 8.87 29.42 21.44 4.91
"ENSG00000053524.7" 1.82 0.95 1.2 0 0.03 0.7 0.69 2.28 3.95 0.94 1.09 0.31
"ENSG00000053702.10" 1.04 0.06 0.04 0 0.03 1.37 2.2 0.35 0.74 0.1 0.16 1.48
"ENSG00000053747.11" 14.97 5.67 287.02 6.59 6.13 14 12.54 331.42 774.74 74.9 95.91 3.02
"ENSG00000053770.7" 16.23 4.95 8.95 8.08 5.36 49.14 48.41 43.07 57.98 6.59 5.5 5.22
"ENSG00000053900.6" 13.56 8.68 8.36 8.95 6.65 15.3 19.22 16.34 19.98 2.06 1.39 5.85
"ENSG00000053918.11" 5.43 1.63 0.89 0 0 3.43 2.33 0.32 0.03 0.33 0.24 2.65
"ENSG00000054116.7" 21.85 15.28 12.89 117.73 71.18 66.93 47.19 50.36 39.23 87.03 59.39 3.23
"ENSG00000054118.9" 28.1 17.25 21.38 8.61 28.27 114.16 136.07 90.98 136.61 6.45 10.66 13.55
"ENSG00000054148.13" 18.92 8.78 12.67 139.66 97.51 99.98 30.46 63.25 34.22 576.51 480.21 13.83
"ENSG00000054179.7" 0.22 0.43 0.19 0.12 0.26 0.43 1.14 1.03 0.54 3.46 6.91 0.3
"ENSG00000054219.9" 7.22 5.51 5.98 0.58 0.29 21.44 26.19 1.16 1.92 1.81 1.93 4.59
"ENSG00000054267.16" 23.02 15.24 17.54 4.91 18.96 23.59 38.87 21.64 40.53 16.38 27.61 22.67
"ENSG00000054277.8" 4.87 2.26 4.87 31.22 22.77 16.09 36.23 50.26 73.3 13.77 12.61 1.14
"ENSG00000054282.11" 13.85 6.16 7.73 13.09 14.55 19.89 17.77 86.02 35.57 11.51 17.51 14.4
"ENSG00000054356.9" 0.07 0.03 0.89 0 0 0 0.13 0.08 0 0 0 0
"ENSG00000054392.8" 3.41 0.67 2.84 1.36 1.03 4.5 7.1 2.08 1.59 1.78 1.18 1.48
"ENSG00000054523.12" 16.04 8.96 8.91 2.11 3.58 8.16 8.45 15.21 32.03 2.81 3.18 3.84
"ENSG00000054598.5" 4.45 3.23 27.64 3.49 6.67 23.13 8.7 16.17 7.26 71.32 102.9 3.4
"ENSG00000054611.9" 8.25 5.11 7.14 7.47 5.15 12.41 12.82 27.81 20.18 5.99 6.11 4.67
"ENSG00000054654.11" 27.24 19.01 47.05 3.43 6.66 69.06 81.71 76.99 105.64 1.75 4.31 10.15
"ENSG00000054690.9" 2.5 1.68 2.35 0.22 0.65 28.65 156.95 14.95 25.58 1.4 2.95 4.59
"ENSG00000054793.9" 11.8 6.9 7.01 0.19 0.2 37.71 44.61 19.65 22.91 8.19 9.97 4.7
"ENSG00000054796.8" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000054803.3" 0.02 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000054938.11" 15.88 0.12 3.55 0 0 0 0 0 0.05 0 0.05 0
"ENSG00000054965.6" 8.66 3.78 7.45 0.98 1.21 8.9 9.97 19.36 26.56 3.47 5.6 2.48
"ENSG00000054967.8" 3.06 3.38 4.69 1.79 1.18 2.11 2.01 5.88 8.3 2.54 3.23 0.52
"ENSG00000054983.12" 14.69 4.08 4.41 1.97 1.32 5.4 9.8 11.12 17.46 3.77 2.72 2.6
"ENSG00000055044.6" 20.66 15.66 23.76 78.36 240.29 207.43 100.32 138.77 144.8 40.99 49.85 25.89
"ENSG00000055070.12" 21.47 17.39 16.62 46.96 25.96 45.48 37.07 83.88 74.22 20.64 20.96 11.85
"ENSG00000055118.10" 2.66 0.29 0.41 0 0 0.24 0.11 0 0.01 0.15 0.34 0.02
"ENSG00000055130.11" 17.25 7.08 11.4 11.95 8.7 51.29 33.45 43.65 43.99 15.47 16.23 4.23
"ENSG00000055147.13" 7.54 3.37 4.13 6 6.43 8.6 8.99 7.99 13.22 1.78 1.92 4.82
"ENSG00000055163.14" 14.98 4.85 8.82 0.81 1 29.78 31.79 0.38 0.57 33.95 40.67 7.4
"ENSG00000055208.13" 27.13 10.5 16.61 4.81 4.34 66.89 102.25 82.58 127.6 8.88 9.37 5.63
"ENSG00000055211.8" 19.16 7.46 8.06 26.65 26.46 23.7 19.39 37.9 50.52 34.95 29.53 5.41
"ENSG00000055332.12" 13.61 15.77 26.75 3.12 5.07 45.57 27.68 56.48 51.07 10.03 14.86 9.66
"ENSG00000055483.15" 15.77 8.57 10.28 2.36 4.41 50.96 35.17 34.91 36.96 9.82 12.07 7.87
"ENSG00000055609.13" 27.38 14.6 14.07 1.43 2.22 19.93 24.52 15.39 18.19 2.18 2.75 21.5
"ENSG00000055732.8" 1.38 0.08 6.01 0 0.05 3.01 1.14 8.56 3 0.61 0.67 0.08
"ENSG00000055813.5" 0.83 0.06 0.01 0.16 0.16 0.54 0.54 0.03 0.17 0 0 0.46
"ENSG00000055917.11" 35.31 15.78 24.05 18.93 17.15 53.22 66.51 39.15 46.71 15.27 15.21 16.83
"ENSG00000055950.12" 15.89 6.8 11.12 76.05 54.88 52.06 33.35 73.24 36.11 141.68 122.86 8.9
"ENSG00000055955.11" 1.4 1.97 1.34 0 0 4.74 6.84 1.66 1.07 0 0.04 6.17
"ENSG00000055957.6" 0.17 0.02 0.02 0 0 0 0 0 0 0 0 0.27
"ENSG00000056050.6" 5.06 2.44 4.77 31.75 31.78 25.15 20.12 19.79 12.91 14.54 12.34 1.53
"ENSG00000056097.11" 26.63 11.91 20.43 17.13 17.89 88.54 71.04 46.59 52.88 12.37 11.3 15.63
"ENSG00000056277.11" 2.22 1.7 1.64 0.52 0.49 7.82 8.6 3.41 9.05 0.84 0.96 1.03
"ENSG00000056291.13" 0.66 0.83 0 23.05 13.08 0 0.05 0 0.08 0.04 0 0
"ENSG00000056487.11" 0.01 0 0 0 0 3.02 7.06 0.32 0.25 0 0.3 0
"ENSG00000056558.6" 4.16 2.66 7.59 0.57 0.38 0.6 0.51 3.72 1.95 0.46 0.39 1.3
"ENSG00000056586.11" 18.01 11.7 20.7 9.76 10.18 8.28 9.92 31.27 50.58 10.19 8.66 17.53
"ENSG00000056661.9" 3.65 3.7 4 2.63 3.79 47.71 33.42 28.14 22.89 28.45 74.27 10.73
"ENSG00000056736.5" 0.17 0.36 0.07 1.22 0.26 3.29 6.77 0.53 0.68 0.04 0 0.93
"ENSG00000056972.14" 10.48 8.33 5.42 30.34 23.42 45.74 22.38 113.65 74.34 46.05 55.78 6.46
"ENSG00000056998.14" 0.7 0.59 0.41 0 0 0 0.03 0 0 0.23 0.31 0.33
"ENSG00000057019.11" 8.87 2.76 2.51 6.07 7.02 9.31 23.57 120.96 419.92 4.48 5.27 0.77
"ENSG00000057149.10" 1.09 45.35 1.94 3.03 3.47 0.8 0.35 68.32 51.68 0 0 0
"ENSG00000057252.8" 11.67 3.61 10.02 13.68 7.73 19.31 16.8 33.66 36.82 2.99 2.62 1.2
"ENSG00000057294.9" 5.19 1.05 2.8 3.28 2.55 21.32 22.57 51.54 56.55 20.88 18.78 1.97
"ENSG00000057468.6" 0.11 0.05 0.01 0.04 0.1 0.03 0.08 0.06 0.06 0 0 0.07
"ENSG00000057593.9" 0.02 0 0.02 0 0 0 0.06 0 0 0 0 0
"ENSG00000057608.12" 58.31 31.4 45.17 180.73 133.27 162.72 217.09 139.16 206.02 63.84 49.67 32.05
"ENSG00000057657.10" 14.54 18.51 17.75 0.15 0.24 1.17 0.44 1.94 2.66 3.71 4.25 2.06
"ENSG00000057663.8" 10.9 4.91 7.58 11.91 7.26 17.74 19.55 16.15 22.16 13.71 9.86 7.78
"ENSG00000057704.6" 4.22 2.39 3.28 0.19 0.11 5.94 13.74 3.12 4 0.74 0.69 1.52
"ENSG00000057757.5" 12.13 11.29 6.31 55.54 47.45 26.1 17.81 64.65 49.94 27.74 23.92 4.65
"ENSG00000057935.9" 12.11 5.64 9.7 37.1 45.37 39.39 37.92 15.56 25.14 40.84 39.87 4.34
"ENSG00000058056.4" 2.61 1.18 1.97 4.33 5.08 3.65 4.6 9.78 14.05 0.54 0.56 1.14
"ENSG00000058063.11" 39.74 34.48 16.29 2.85 2.25 28.98 51.73 33.01 93.68 6.88 6.2 14.85
"ENSG00000058085.10" 8.82 13.89 246.6 14.34 15.62 84.23 35.71 459.3 548.99 72.91 110.22 6.84
"ENSG00000058091.12" 8.37 5.08 13.78 3.35 2.6 3.77 2.66 6.23 4.22 4.7 3.64 1.7
"ENSG00000058262.5" 44.23 35.01 31.19 107.43 70.34 194.58 200.55 264.58 303.65 42.1 42.3 12.57
"ENSG00000058272.11" 78.23 20.42 36.39 37.68 194.29 73.86 135.54 52.83 108.44 33.18 57.19 42.53
"ENSG00000058335.11" 0.36 0.09 1.46 0.15 0.04 0.96 0.68 17.8 9.49 1.64 1.04 0.11
"ENSG00000058404.15" 0 0.06 0.01 0.38 0.42 0 0.04 0.19 0.1 0.17 0.38 0.03
"ENSG00000058453.12" 4.02 4.58 4.51 0.32 0.32 10.43 6.08 9.43 9.51 2.12 3.35 21.39
"ENSG00000058600.11" 11.83 6.51 7.56 4.93 4.84 32.68 22.35 77.5 70.16 7.85 12.38 9.98
"ENSG00000058668.10" 52.61 14.76 24.9 6.75 8.44 1.95 12.15 31.38 54.62 2.95 3.27 9.47
"ENSG00000058673.11" 47.21 26.22 40.69 5.16 6.77 148.65 139.12 120.69 125.47 20.1 23.69 20.29
"ENSG00000058729.6" 5.73 4.2 2.92 18.62 36.47 22.69 25.42 14.26 36.68 10.27 13 3.35
"ENSG00000058799.9" 7.67 4.94 7.4 43.35 30.4 21.45 20.17 23.54 16.17 19.28 17.3 2.91
"ENSG00000058804.10" 4.39 3.17 4.67 37.21 27.96 15.3 27.4 41 63.54 5.95 4.98 1.32
"ENSG00000058866.10" 4 2.45 0.57 0 0 0 0 0.81 1.23 0.06 0 0.1
"ENSG00000059122.12" 6.2 6.32 2.86 2.74 3.38 20.58 8.65 59.98 29.29 15.53 16.15 1.95
"ENSG00000059145.14" 4.8 5.15 2.79 8 6.94 5.04 4.99 8.91 5.73 1.86 1.93 9.17
"ENSG00000059377.11" 9.97 6.9 7.25 0 0.1 0.11 3.45 2.84 5.13 0.04 0 5.36
"ENSG00000059378.8" 14.78 21.67 60.25 16.12 11.88 57.3 20.31 39.78 32 12.24 11.53 7.41
"ENSG00000059573.4" 11.76 8.85 8.53 15.85 12.4 56.5 34.66 73.15 55.32 28.2 27.64 4.71
"ENSG00000059588.5" 11.65 11.19 10.33 13.19 14.17 17.51 22.26 29.18 27.63 4.96 4.58 5.85
"ENSG00000059691.7" 2.64 2.63 2.53 12.86 14.9 11.18 11.35 8.16 9.06 26.24 27.12 4.83
"ENSG00000059728.6" 14.73 10.39 19.39 4.05 2.37 9.6 7.52 10.12 18.86 10.45 10.66 4.26
"ENSG00000059758.3" 30.89 12.63 30.5 7.2 5.56 26.02 34.67 22.97 31.29 5.44 4.56 5.93
"ENSG00000059769.15" 8.34 2.19 8.45 7.66 5.89 8.99 16.33 18.04 39.7 13.36 7.17 2.42
"ENSG00000059804.11" 56.98 11.66 91.54 12.66 9.12 0.47 0.31 3.04 3.24 3.33 2.85 2.21
"ENSG00000059915.12" 13.79 0.5 0.5 0.38 0.14 0.71 0.52 0.53 0.84 0.26 0.15 0.48
"ENSG00000060069.12" 5.47 4.76 5.18 5.63 5.92 17.11 11.71 9.65 4.97 7.55 9.56 4.55
"ENSG00000060138.8" 110.73 51.91 57.2 119.61 126.64 595.77 339.41 682.99 674.1 280.29 428.67 45.59
"ENSG00000060140.4" 2.98 0.86 1.68 1.9 1.43 3.05 3.53 2.64 3.89 1.38 1.36 2.7
"ENSG00000060237.12" 50.22 21.91 32.8 1.5 9.09 102.88 115.11 120.44 143.98 5.88 11.7 26.33
"ENSG00000060303.5" 0 0 0 0 0 0 0.84 0 0.49 0 0 0
"ENSG00000060339.9" 16.85 18.08 23.05 47.3 184.98 85.28 78.2 57.95 72.71 24.46 38.32 28.65
"ENSG00000060491.12" 9.13 13.3 13.52 9.19 9.53 60.84 15.92 33.8 12.48 55.19 98.25 7.03
"ENSG00000060558.3" 8.52 13.28 11.13 9.95 7.44 46.71 19.57 44.62 36.1 31.99 40.6 8.06
"ENSG00000060566.9" 0.02 0.01 0.06 0 0.11 0.46 0.15 0.04 0 0 0 0
