"Tumor_T3" "Tumor_T4" "Tumor_T5" "HT1376_1" "HT1376_2" "RT4_1" "RT4_2" "SCABER_1" "SCABER_2" "SW780_1" "SW780_2" "Tumor_T1"
"ENSG00000004487.11" 17.59 13.01 11.02 20.93 18.2 67.67 64.98 178.53 129.07 43.13 36.24 20.06
"ENSG00000004534.10" 27.23 17.74 25.9 6.72 13.67 94.59 130.92 36.46 54.89 2.35 1.55 39.46
"ENSG00000004660.10" 2.31 0.74 0.87 0.48 0.4 3.32 3.8 3.08 2.72 1.98 2.38 0.51
"ENSG00000004700.11" 13.07 6.26 14.08 2.7 2.41 16.21 36.04 39.34 69.73 3.61 3.14 4.99
"ENSG00000004766.11" 12.57 4.63 5.8 3.41 2.6 9.28 16.28 13.74 20.98 1.95 1.35 5.36
"ENSG00000004776.7" 29.91 0.1 0.77 0 0.06 0.17 0 0.94 0.19 0.16 0.09 0
"ENSG00000004777.14" 1.41 1.53 0.95 0.05 0.03 1.59 1.58 1.85 1.9 0.74 1.05 0.98
"ENSG00000004779.5" 23.56 11.06 10.25 483.82 343.7 72.59 36.55 111.72 48.54 190.23 116.89 9.21
"ENSG00000004799.7" 116.77 0.71 1.35 1.29 1.39 5.51 23.18 0 0 1.44 1.29 0.78
"ENSG00000004809.9" 0.1 0.11 0.32 0 0 0 0 0.05 0 0 0 0
"ENSG00000004838.9" 0.08 0.14 0.49 1.82 1.01 0.63 0.59 0.42 0.41 0 0 0
"ENSG00000004846.12" 2.58 0 0.03 0 0 0 0.01 0.03 0.01 0 0 0
"ENSG00000004848.6" 0 0.03 0 0 0 0.05 0.04 0.01 0.52 0.17 0.06 0
"ENSG00000004864.9" 10.67 4.83 7.85 22.42 12.15 24.7 26 16.55 24.44 2.31 3.04 6.24
"ENSG00000004866.14" 6.83 3.58 5.84 14.51 11.22 19.65 14.63 19.65 18.7 5.29 7.14 3.49
"ENSG00000004897.7" 21.79 15.24 18.27 8.12 7.74 61.7 65.51 70.32 121.98 9.62 10.9 7.18
"ENSG00000004939.9" 0.13 0.19 0.12 0 0 0 0 0 0.02 0 0 0
"ENSG00000004948.9" 0.05 0.01 0 0 0.02 0 0.05 0 0.02 0.04 0 0
"ENSG00000004961.10" 7.24 6.85 4.6 52.65 33.97 25.12 21.6 17.86 12.95 28.99 17.77 3.85
"ENSG00000004975.7" 8.7 5.22 6.72 10.99 6.11 30.9 24.32 28.06 19.33 5.33 6.26 7.42
"ENSG00000005001.5" 7.15 6.16 2.79 8.98 7.44 69.62 36.77 61.14 10.45 40.53 47.84 3.84
"ENSG00000005007.8" 14.56 17.04 10.64 13.83 14.6 52.5 39.13 54.65 46.6 31.69 39.46 10.15
"ENSG00000005020.8" 16.66 5.27 7.87 10.87 12.94 22.15 26.41 30.79 53.98 12.72 9.62 9.11
"ENSG00000005022.5" 56.14 61.91 70.99 1312.09 843.66 261.47 357.81 467.33 472.34 374.74 230.76 26.46
"ENSG00000005059.11" 9.27 3 8.36 66.02 47.84 7.35 12.1 5.77 13.85 12.07 4.84 1.86
"ENSG00000005073.5" 3.7 0.55 0.71 0 0 13.2 8.97 4.9 1.91 0.45 0.5 0.53
"ENSG00000005075.11" 8.84 8.99 5.78 146.8 103.06 96.5 33.58 57.15 23.59 171.01 179.69 8.57
"ENSG00000005100.8" 2.68 2.17 2.52 3.22 8.09 15.14 15.86 16.33 21.07 4.74 5.1 2.02
"ENSG00000005102.8" 3.03 0.3 0.35 0 0.08 0 0 0.28 0.11 0 0 0.22
"ENSG00000005108.11" 4.33 0.34 0.35 1.47 2.92 0.11 6.29 0.18 0.05 0.01 0.01 0.98
"ENSG00000005156.7" 10.4 15.65 6.94 1.99 1.57 27.86 25.71 16.73 33.98 4.56 4.36 7.31
